Number of distinct words = 10614

politicians 10
shot 10
involved 10
global 10
committee 10
independent 10
expected 10
storms 10
behind 10
figures 10
issue 10
interview 10
warned 10
disaster 2
towards 10
champions 9
teams 9
myself 9
funny 9
drip 9
finished 9
hiv 9
loved 9
trousers 9
clothes 9
art 9
leribault 9
french 9
exhibition 9
light 9
degree 9
we'd 9
experiment 9
pepper 9
words 9
internet 9
lots 9
attention 9
corden 9
stuff 9
read 9
suggested 9
unit 9
morgan 9
greater 9
white 9
brilliant 9
le 9
large 9
momentum 9
slow 9
middle 9
bbc 9
institute 9
zone 9
moving 9
workers 9
obviously 9
interest 9
challenges 9
ran 9
tired 9
rules 9
answer 9
rise 9
buy 9
nine 9
staff 9
trade 9
peer 9
allowed 9
companies 9
december 9
independence 9
supporters 9
fair 9
dramatic 9
fear 9
interested 9
picked 9
generation 9
claimed 9
relatively 9
nation 9
soon 9
expect 9
concerns 9
stay 9
create 9
cross 9
syria 9
modern 9
losing 9
selected 9
positive 9
risks 9
improve 9
pay 9
recall 9
thinking 9
suddenly 9
speed 9
capital 9
calling 9
board 9
further 9
service 9
cuts 9
leadership 9
doubt 9
debate 9
joke 9
worst 9
economy 9
investment 9
push 9
train 9
difficult 9
restaurant 9
enter 9
mother 9
poll 9
defence 9
division 9
attack 9
adds 9
king 9
calls 9
johnson 8
footballer 8
fa 8
plus 8
russian 8
butter 8
marmite 8
chef 8
famous 8
character 8
collection 8
breast 8
& 8
fabric 8
coat 8
phoenix 8
storm 8
perfect 8
leaves 8
whom 8
drugs 8
sister 8
nobel 8
relationships 8
ones 8
chores 8
dinner 8
earth 8
confidence 8
lines 8
slightly 8
obvious 8
martin 8
engine 8
pilot 8
band 8
quick 8
article 8
phone 8
affairs 8
concern 8
account 8
expectations 8
showed 8
rate 8
speaking 8
takes 8
scheme 8
complete 8
chance 8
running 8
euro 8
countries 8
imagine 8
carinthia 8
ragger 8
fight 8
review 8
unless 8
rising 8
jobs 8
direct 8
changed 8
mind 8
chances 8
space 8
stood 8
wrote 8
decided 8
finally 8
beautiful 8
ambitious 8
hold 8
la 8
open 8
above 8
struggle 8
olympic 8
caught 8
provided 8
raise 8
executive 8
commission 8
due 8
growing 8
connection 8
november 8
india 8
court 8
movement 8
lose 8
medical 8
published 8
die 8
hair 8
therapy 8
boy 8
threat 8
foreign 8
process 8
base 8
russia 8
adding 8
refused 8
violence 8
million 8
hour 8
brahimi 8
peace 8
regime 8
members 8
agreed 8
seven 8
findings 8
data 8
benefit 8
projects 8
interesting 8
author 8
nor 8
turning 8
gets 8
nature 8
response 8
carried 8
missing 8
remove 8
scene 8
spokesman 8
tried 8
residents 8
fell 8
caused 8
winds 8
steps 8
complicated 8
spending 8
respond 8
reality 8
clearly 8
conference 8
talking 8
agenda 8
explain 8
sale 8
decades 8
highest 8
warnings 8
hundreds 8
aged 8
long-term 8
flat 8
leading 8
conditions 8
special 8
businesses 8
ed 8
matthews 7
coach 7
gettler 7
manufacturers 7
hillsborough 7
suppose 7
hazard 7
girl 7
debut 7
bother 7
language 7
hot 7
production 7
produce 7
proved 7
detail 7
meal 7
hannah 7
style 7
imagined 7
films 7
books 7
fine 7
era 7
lived 7
dad 7
wouldn't 7
ok 7
instance 7
field 7
bed 7
schwartz 7
lesbian 7
common 7
works 7
marital 7
kitchen 7
watched 7
boyfriend 7
magazine 7
guitar 7
prize 7
income 7
finding 7
ability 7
asking 7
northerners 7
usually 7
gives 7
nobody 7
museum 7
causes 7
experienced 7
bar 7
telling 7
charge 7
suppliers 7
happened 7
mobile 7
german 7
air 7
korea 7
tone 7
beijing 7
forest 7
stop 7
soft 7
mark 7
extra 7
follow 7
minds 7
challenge 7
area 7
accept 7
radio 7
definitely 7
normal 7
entirely 7
spend 7
runs 7
scientist 7
build 7
stadium 7
editor 7
heads 7
turns 7
starts 7
goes 7
faces 7
victory 7
historic 7
considered 7
hands 7
winning 7
difference 7
remains 7
comments 7
backed 7
recovery 7
mayor 7
statement 7
oxford 7
award 7
busy 7
standards 7
michael 7
neither 7
supply 7
sources 7
olympics 7
rolls-royce 7
sudhir 7
emerged 7
meeting 7
colleagues 7
radical 7
signed 7
organised 7
feet 7
controversial 7
patients 7
eye 7
replacement 7
trust 7
bodies 7
bright 7
annual 7
leaders 7
options 7
ways 7
community 7
rights 7
focus 7
groups 7
ended 7
failed 7
ideas 7
waiting 7
simple 7
management 7
word 7
grow 7
haven't 7
indeed 7
nice 7
century 7
evening 7
alone 7
spirit 7
appear 7
speak 7
february 7
clegg 7
nick 7
total 7
free 7
coast 7
affected 7
offered 7
protect 7
battle 7
deep 7
damage 7
subject 7
planning 7
scientists 7
door 7
split 7
measures 7
plenty 7
pretty 7
whatever 7
financial 7
passed 7
close 7
decent 7
race 7
boost 7
ready 7
road 7
engines 7
hampshire 7
confirmed 7
society 7
member 7
westminster 7
consequences 7
scientific 7
conflict 7
philip-lorca 6
guardiola 6
wigan 6
pellegrini 6
finish 6
minute 6
inboxes 6
skin 6
harvi 6
scoring 6
putin 6
slopes 6
athletes 6
yeah 6
dortmund 6
monthly 6
possibly 6
abuse 6
portraits 6
hills 6
americans 6
bafta 6
whaanga 6
opponent 6
promised 6
shoot 6
crusoe 6
apprentice 6
st 6
drop 6
dry 6
proper 6
accommodation 6
apparent 6
impression 6
sun 6
demand 6
strike 6
efficient 6
gallo 6
she'd 6
recalls 6
pasteur 6
memories 6
natural 6
journey 6
cards 6
stream 6
cancer 6
lake 6
milton 6
atmosphere 6
yards 6
begins 6
developed 6
sexuality 6
upset 6
supposed 6
grey 6
consent 6
reading 6
household 6
rarely 6
frequency 6
cooking 6
childcare 6
shift 6
younger 6
performances 6
truth 6
winner 6
actor 6
gigs 6
older 6
chose 6
agree 6
brand 6
rich 6
liverpool 6
farage 6
eighth 6
surprised 6
double 6
remained 6
chip 6
box 6
captain 6
aaib 6
expert 6
price 6
credit 6
customers 6
aware 6
widely 6
paper 6
influence 6
behaviour 6
shortly 6
lee 6
troubled 6
posed 6
easy 6
impressive 6
pitch 6
surely 6
snp 6
reasons 6
barely 6
capacity 6
park 6
miles 6
dh 6
forced 6
reputation 6
student 6
haider 6
weekend 6
immigration 6
message 6
thinks 6
none 6
failing 6
complex 6
bring 6
achieve 6
basis 6
necessarily 6
suggest 6
struck 6
wall 6
touch 6
appears 6
politician 6
moments 6
carefully 6
star 6
ultimately 6
birth 6
stayed 6
critics 6
strategy 6
polls 6
directly 6
napolitano 6
college 6
website 6
recorded 6
prison 6
brown 6
hospitals 6
comment 6
showing 6
cbi 6
bhanu 6
accepted 6
charges 6
corruption 6
pope 6
giving 6
deeply 6
ordinary 6
accused 6
march 6
programme 6
smith 6
removed 6
sit 6
intervention 6
cold 6
authority 6
worse 6
pass 6
knowledge 6
present 6
adam 6
accounts 6
researchers 6
represents 6
benefits 6
created 6
donor 6
gene 6
approved 6
technique 6
hearing 6
